region,funding_sum
alabama,1312616741
alaska,55308495
arizona,827581277
arkansas,290299730
california,17378720146
colorado,1619848566
connecticut,2357221658
delaware,184566684
dist of col,976176037
florida,2463694112
georgia,2410884354
guam,2643972
hawaii,250183789
idaho,52465300
illinois,3822257521
indiana,1037059116
iowa,856844219
kansas,468806437
kentucky,771513306
louisiana,702689176
maine,378631895
maryland,6957019485
massachusetts,12307867167
michigan,3071624755
minnesota,2504503783
mississippi,218642593
missouri,2337806574
montana,153970385
nebraska,462156139
nevada,128106189
new hampshire,483900320
new jersey,1190763495
new mexico,477942426
new york,10311226220
north carolina,5300106649
north dakota,85446719
ohio,3430327112
oklahoma,437899168
oregon,1455677924
pennsylvania,7415554283
puerto rico,191558432
rhode island,709364787
south carolina,733816053
south dakota,105653269
tennessee,2332170934
texas,5107738628
utah,840496474
vermont,262829908
virgin islands,7193847
virginia,1586696468
washington,4467354898
west virginia,118560523
wisconsin,1957061379
wyoming,42262426
